scientificName,vernacularName,eventDate,decimalLatitude,decimalLongitude,recordedBy,locality,country,countryCode,habitat,occurrenceRemarks,height,dbh,diameter,canopyCoverPercent,establishmentMeans,photo_tree,photo_leaf,photo_bark,photo_url
Shorea leprosula,Light Red Meranti,2025-01-12,5.0189,117.8041,Ahmad Razali,Danum Valley,Malaysia,MY,Lowland dipterocarp forest,Permanent plot A1 near stream terrace,41.8,67,74,86,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Dipterocarpus grandiflorus,Keruing,2025-01-12,5.0203,117.8051,Ahmad Razali,Danum Valley,Malaysia,MY,Lowland dipterocarp forest,Tagged stem on ridge trail,38.9,58,,82,native,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Dryobalanops aromatica,Kapur,2025-01-13,5.8694,117.9425,Siti Aminah,Sepilok,Malaysia,MY,Semi-evergreen forest,Canopy emergent beside boardwalk sector 3,52.4,84,92,91,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,
Hopea odorata,Merawan Siput Jantan,2025-01-13,5.8711,117.944,Siti Aminah,Sepilok,Malaysia,MY,Restoration edge planting,Planted along access road in 2019,28.7,39,45,64,managed,,,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing
Parashorea malaanonan,Urat Mata,2025-01-14,6.0754,116.5584,Rizal Hakim,Kinabalu Park,Malaysia,MY,Lower montane forest,Upper slope plot with dense litter,45.1,72,81,79,native,,,,
Shorea parvifolia,Light Red Meranti,2025-01-14,6.0767,116.5602,Rizal Hakim,Kinabalu Park,Malaysia,MY,Lower montane forest,Mature tree with buttress flare,35.8,57,,74,native,,,,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing; https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing; https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing
Tectona grandis,Teak,2025-01-15,17.3416,96.5128,Aung Kyaw,Bago,Myanmar,MM,Production plantation,Third rotation stand with regular spacing,23.4,34,39,42,managed,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,,
Pterocarpus indicus,Narra,2025-01-16,9.7741,118.7355,Maria Santos,Palawan,Philippines,PH,Community forest buffer,Natural regeneration along old logging track,30.7,61,69,68,native,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,,
Intsia bijuga,Merbau,2025-01-17,-0.4683,130.6589,Budi Santoso,Raja Ampat,Indonesia,ID,Coastal limestone forest,Large tree on karst shelf above bay,29.5,49,,58,native,,,,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing; https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing
Agathis borneensis,Damar Minyak,2025-01-18,4.5353,114.7277,Haji Omar,Temburong,Brunei,BN,Mixed dipterocarp forest,Resin scars visible on lower bole,46.8,89,97,88,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,
Ficus benjamina,Weeping Fig,2025-01-19,13.7565,100.5018,Nattapong Chaiyut,Bangkok Green Belt,Thailand,TH,Urban riparian corridor,Volunteer mapped mature shade tree,18.9,82,95,47,uncertain,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing
Khaya senegalensis,African Mahogany,2025-01-19,13.7578,100.5034,Nattapong Chaiyut,Bangkok Green Belt,Thailand,TH,Urban roadside planting,Introduced avenue tree maintained by district crew,21.7,48,56,33,introduced,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Syzygium grande,Sea Apple,2025-01-20,1.2767,103.8452,Farid Bin Salleh,Labrador Nature Reserve,Singapore,SG,Coastal secondary forest,Salt-tolerant tree above rocky shore,16.3,28,33,54,native,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,
Casuarina equisetifolia,Rhu,2025-01-20,1.2981,103.8559,Farid Bin Salleh,East Coast Park,Singapore,SG,Coastal shelterbelt,Windbreak planting with sparse understory,19.8,31,,29,managed,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Mangifera indica,Mango,2025-01-21,14.5998,120.9845,Liza Cruz,Quezon City Demo Farm,Philippines,PH,Agroforestry margin,Fruit tree retained within mixed garden block,12.6,26,31,41,managed,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,,
Artocarpus heterophyllus,Jackfruit,2025-01-21,14.6009,120.9862,Liza Cruz,Quezon City Demo Farm,Philippines,PH,Agroforestry margin,Multistem individual measured at largest stem,10.4,22,27,38,managed,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing; https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing
Alstonia scholaris,Pulai,2025-01-22,3.1409,101.6932,Nur Afiqah,Kuala Lumpur Urban Forest,Malaysia,MY,Urban secondary forest,Common native volunteer in shaded gully,24.2,37,43,52,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Acacia mangium,Mangium,2025-01-22,3.1421,101.6944,Nur Afiqah,Kuala Lumpur Urban Forest,Malaysia,MY,Former plantation patch,Self-seeding individuals spreading from older planting,26.8,44,,57,naturalised,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Dipterocarpus alatus,Yang Na,2025-01-23,13.3632,100.9848,Prasert Wongsa,Bang Pakong Floodplain,Thailand,TH,Riverine forest,Seasonally flooded site with clay soils,33.1,64,71,72,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing
Terminalia catappa,Talisay,2025-01-23,10.3152,123.8854,Jose Ramirez,Cebu Coast,Philippines,PH,Beach forest,Open-grown crown near shoreline path,14.8,42,50,35,native,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,,
Rhizophora apiculata,Bakau Minyak,2025-01-24,1.4247,103.7446,Farid Bin Salleh,Sungei Buloh Wetland,Singapore,SG,Mangrove fringe,Measured at boardwalk quadrat M4,11.2,18,22,61,native,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Avicennia alba,Api-api Putih,2025-01-24,1.4259,103.7457,Farid Bin Salleh,Sungei Buloh Wetland,Singapore,SG,Mangrove fringe,Fine pneumatophores around base,9.6,16,,66,native,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing,,,https://drive.google.com/file/d/1Wgx8T8iGc7LBcCj6AIIVCNieAcl0vkPb/view?usp=sharing
Swietenia macrophylla,Honduras Mahogany,2025-01-25,11.5566,104.9282,Sok Dara,Phnom Penh Peri-urban Park,Cambodia,KH,Urban park planting,Introduced specimen with irrigation support,22.9,51,58,36,introduced,https://drive.google.com/file/d/1Kz_0iGkQ4OOdICjfm2rvY8QejdXZ1iBY/view?usp=sharing,,https://drive.google.com/file/d/1l8sT3CjN_xVWH0kivfJpzpWK19O46vMH/view?usp=sharing,
Afzelia xylocarpa,Beng,2025-01-25,13.4124,103.8669,Sok Dara,Siem Reap Community Forest,Cambodia,KH,Dry deciduous forest,Fire scars from previous dry season,27.5,59,67,49,native,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,https://drive.google.com/file/d/1DxHnWMfoJYtGbiylaa__qR7S5WUrscRZ/view?usp=sharing,https://drive.google.com/file/d/109xgvQ9KCE44URbkTcsSw5SOokAl0XhP/view?usp=sharing,
Dalbergia cochinchinensis,Siamese Rosewood,2025-01-26,14.2651,103.9832,Sok Dara,Oddar Meanchey Buffer,Cambodia,KH,Dry evergreen remnant,Young pole in guarded enrichment plot,8.9,14,18,44,managed,,https://drive.google.com/file/d/1dF5EBP77B5aj_2zD-EWpDUfnrxwHMtpA/view?usp=sharing,,
